[2025-12-16T21:41:08.213+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-16T21:41:08.234+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: openaq_elt_pipeline.ingest_locations manual__2025-12-16T21:41:07.273805+00:00 [queued]>
[2025-12-16T21:41:08.238+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: openaq_elt_pipeline.ingest_locations manual__2025-12-16T21:41:07.273805+00:00 [queued]>
[2025-12-16T21:41:08.238+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-12-16T21:41:08.243+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): ingest_locations> on 2025-12-16 21:41:07.273805+00:00
[2025-12-16T21:41:08.247+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=169) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-16T21:44:47.669+0000] {subprocess.py:93} INFO - Fetched page 8, 100 locations
[2025-12-16T21:44:47.669+0000] {subprocess.py:93} INFO - Fetched page 9, 100 locations
[2025-12-16T21:44:47.669+0000] {subprocess.py:93} INFO - Fetched page 10, 100 locations
[2025-12-16T21:44:47.669+0000] {subprocess.py:93} INFO - Fetched page 11, 100 locations
[2025-12-16T21:44:47.669+0000] {subprocess.py:93} INFO - Fetched page 12, 100 locations
[2025-12-16T21:44:47.670+0000] {subprocess.py:93} INFO - Fetched page 13, 100 locations
[2025-12-16T21:44:47.670+0000] {subprocess.py:93} INFO - Fetched page 14, 100 locations
[2025-12-16T21:44:47.670+0000] {subprocess.py:93} INFO - Fetched page 15, 100 locations
[2025-12-16T21:44:47.670+0000] {subprocess.py:93} INFO - Fetched page 16, 100 locations
[2025-12-16T21:44:47.670+0000] {subprocess.py:93} INFO - Fetched page 17, 100 locations
[2025-12-16T21:44:47.670+0000] {subprocess.py:93} INFO - Fetched page 18, 100 locations
[2025-12-16T21:44:47.670+0000] {subprocess.py:93} INFO - Fetched page 19, 100 locations
[2025-12-16T21:44:47.671+0000] {subprocess.py:93} INFO - Fetched page 20, 100 locations
[2025-12-16T21:44:47.671+0000] {subprocess.py:93} INFO - Fetched page 21, 100 locations
[2025-12-16T21:44:47.671+0000] {subprocess.py:93} INFO - Fetched page 22, 100 locations
[2025-12-16T21:44:47.671+0000] {subprocess.py:93} INFO - Fetched page 23, 100 locations
[2025-12-16T21:44:47.671+0000] {subprocess.py:93} INFO - Fetched page 24, 100 locations
[2025-12-16T21:44:47.671+0000] {subprocess.py:93} INFO - Fetched page 25, 100 locations
[2025-12-16T21:44:47.671+0000] {subprocess.py:93} INFO - Fetched page 26, 100 locations
[2025-12-16T21:44:47.671+0000] {subprocess.py:93} INFO - Fetched page 27, 100 locations
[2025-12-16T21:44:47.672+0000] {subprocess.py:93} INFO - Fetched page 28, 100 locations
[2025-12-16T21:44:47.672+0000] {subprocess.py:93} INFO - Fetched page 29, 100 locations
[2025-12-16T21:44:47.672+0000] {subprocess.py:93} INFO - Fetched page 30, 100 locations
[2025-12-16T21:44:47.672+0000] {subprocess.py:93} INFO - Fetched page 31, 100 locations
[2025-12-16T21:44:47.672+0000] {subprocess.py:93} INFO - Fetched page 32, 100 locations
[2025-12-16T21:44:47.672+0000] {subprocess.py:93} INFO - Fetched page 33, 100 locations
[2025-12-16T21:44:47.672+0000] {subprocess.py:93} INFO - Fetched page 34, 100 locations
[2025-12-16T21:44:47.673+0000] {subprocess.py:93} INFO - Fetched page 35, 100 locations
[2025-12-16T21:44:47.673+0000] {subprocess.py:93} INFO - Fetched page 36, 100 locations
[2025-12-16T21:44:47.673+0000] {subprocess.py:93} INFO - Fetched page 37, 100 locations
[2025-12-16T21:44:47.673+0000] {subprocess.py:93} INFO - Fetched page 38, 100 locations
[2025-12-16T21:44:47.673+0000] {subprocess.py:93} INFO - Fetched page 39, 100 locations
[2025-12-16T21:44:47.673+0000] {subprocess.py:93} INFO - Fetched page 40, 100 locations
[2025-12-16T21:44:47.673+0000] {subprocess.py:93} INFO - Fetched page 41, 100 locations
[2025-12-16T21:44:47.673+0000] {subprocess.py:93} INFO - Fetched page 42, 100 locations
[2025-12-16T21:44:47.674+0000] {subprocess.py:93} INFO - Fetched page 43, 100 locations
[2025-12-16T21:44:47.674+0000] {subprocess.py:93} INFO - Fetched page 44, 100 locations
[2025-12-16T21:44:47.674+0000] {subprocess.py:93} INFO - Fetched page 45, 100 locations
[2025-12-16T21:44:47.674+0000] {subprocess.py:93} INFO - Fetched page 46, 100 locations
[2025-12-16T21:44:47.674+0000] {subprocess.py:93} INFO - Fetched page 47, 100 locations
[2025-12-16T21:44:47.674+0000] {subprocess.py:93} INFO - Fetched page 48, 100 locations
[2025-12-16T21:44:47.675+0000] {subprocess.py:93} INFO - Fetched page 49, 100 locations
[2025-12-16T21:44:47.675+0000] {subprocess.py:93} INFO - Fetched page 50, 100 locations
[2025-12-16T21:44:47.675+0000] {subprocess.py:93} INFO - Fetched page 51, 100 locations
[2025-12-16T21:44:47.675+0000] {subprocess.py:93} INFO - Fetched page 52, 100 locations
[2025-12-16T21:44:47.675+0000] {subprocess.py:93} INFO - Fetched page 53, 100 locations
[2025-12-16T21:44:47.675+0000] {subprocess.py:93} INFO - Fetched page 54, 100 locations
[2025-12-16T21:44:47.675+0000] {subprocess.py:93} INFO - Fetched page 55, 100 locations
[2025-12-16T21:44:47.675+0000] {subprocess.py:93} INFO - Fetched page 56, 100 locations
[2025-12-16T21:44:47.675+0000] {subprocess.py:93} INFO - Fetched page 57, 100 locations
[2025-12-16T21:44:47.676+0000] {subprocess.py:93} INFO - Fetched page 58, 100 locations
[2025-12-16T21:44:47.676+0000] {subprocess.py:93} INFO - Fetched page 59, 100 locations
[2025-12-16T21:44:47.676+0000] {subprocess.py:93} INFO - Fetched page 60, 100 locations
[2025-12-16T21:44:47.676+0000] {subprocess.py:93} INFO - Fetched page 61, 100 locations
[2025-12-16T21:44:47.676+0000] {subprocess.py:93} INFO - Fetched page 62, 100 locations
[2025-12-16T21:44:47.676+0000] {subprocess.py:93} INFO - Fetched page 63, 100 locations
[2025-12-16T21:44:47.676+0000] {subprocess.py:93} INFO - Fetched page 64, 100 locations
[2025-12-16T21:44:47.676+0000] {subprocess.py:93} INFO - Fetched page 65, 100 locations
[2025-12-16T21:44:47.677+0000] {subprocess.py:93} INFO - Fetched page 66, 100 locations
[2025-12-16T21:44:47.677+0000] {subprocess.py:93} INFO - Fetched page 67, 100 locations
[2025-12-16T21:44:47.677+0000] {subprocess.py:93} INFO - Fetched page 68, 100 locations
[2025-12-16T21:44:47.677+0000] {subprocess.py:93} INFO - Fetched page 69, 100 locations
[2025-12-16T21:44:47.677+0000] {subprocess.py:93} INFO - Fetched page 70, 100 locations
[2025-12-16T21:44:47.677+0000] {subprocess.py:93} INFO - Fetched page 71, 100 locations
[2025-12-16T21:44:47.677+0000] {subprocess.py:93} INFO - Fetched page 72, 100 locations
[2025-12-16T21:44:47.677+0000] {subprocess.py:93} INFO - Fetched page 73, 100 locations
[2025-12-16T21:44:47.677+0000] {subprocess.py:93} INFO - Fetched page 74, 100 locations
[2025-12-16T21:44:47.678+0000] {subprocess.py:93} INFO - Fetched page 75, 100 locations
[2025-12-16T21:44:47.679+0000] {subprocess.py:93} INFO - Fetched page 76, 100 locations
[2025-12-16T21:44:47.679+0000] {subprocess.py:93} INFO - Fetched page 77, 100 locations
[2025-12-16T21:44:47.679+0000] {subprocess.py:93} INFO - Fetched page 78, 100 locations
[2025-12-16T21:44:47.679+0000] {subprocess.py:93} INFO - Fetched page 79, 100 locations
[2025-12-16T21:44:47.679+0000] {subprocess.py:93} INFO - Fetched page 80, 100 locations
[2025-12-16T21:44:47.679+0000] {subprocess.py:93} INFO - Fetched page 81, 100 locations
[2025-12-16T21:44:47.680+0000] {subprocess.py:93} INFO - Fetched page 82, 100 locations
[2025-12-16T21:44:47.680+0000] {subprocess.py:93} INFO - Fetched page 83, 100 locations
[2025-12-16T21:44:47.680+0000] {subprocess.py:93} INFO - Fetched page 84, 100 locations
[2025-12-16T21:44:47.680+0000] {subprocess.py:93} INFO - Fetched page 85, 100 locations
[2025-12-16T21:44:47.680+0000] {subprocess.py:93} INFO - Fetched page 86, 100 locations
[2025-12-16T21:44:47.680+0000] {subprocess.py:93} INFO - Fetched page 87, 100 locations
[2025-12-16T21:44:47.680+0000] {subprocess.py:93} INFO - Fetched page 88, 100 locations
[2025-12-16T21:44:47.680+0000] {subprocess.py:93} INFO - Fetched page 89, 100 locations
[2025-12-16T21:44:47.680+0000] {subprocess.py:93} INFO - Fetched page 90, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 91, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 92, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 93, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 94, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 95, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 96, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 97, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 98, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 99, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 100, 100 locations
[2025-12-16T21:44:47.681+0000] {subprocess.py:93} INFO - Fetched page 101, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 102, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 103, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 104, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 105, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 106, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 107, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 108, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 109, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 110, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 111, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 112, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 113, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 114, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 115, 100 locations
[2025-12-16T21:44:47.682+0000] {subprocess.py:93} INFO - Fetched page 116, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 117, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 118, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 119, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 120, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 121, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 122, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 123, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 124, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 125, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 126, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 127, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 128, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 129, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 130, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 131, 100 locations
[2025-12-16T21:44:47.683+0000] {subprocess.py:93} INFO - Fetched page 132, 100 locations
[2025-12-16T21:44:47.684+0000] {subprocess.py:93} INFO - Fetched page 133, 100 locations
[2025-12-16T21:44:47.684+0000] {subprocess.py:93} INFO - Fetched page 134, 100 locations
[2025-12-16T21:44:47.684+0000] {subprocess.py:93} INFO - Fetched page 135, 100 locations
[2025-12-16T21:44:47.684+0000] {subprocess.py:93} INFO - Fetched page 136, 100 locations
[2025-12-16T21:44:47.684+0000] {subprocess.py:93} INFO - Fetched page 137, 100 locations
[2025-12-16T21:44:47.684+0000] {subprocess.py:93} INFO - Fetched page 138, 100 locations
[2025-12-16T21:44:47.684+0000] {subprocess.py:93} INFO - Fetched page 139, 100 locations
[2025-12-16T21:44:47.684+0000] {subprocess.py:93} INFO - Fetched page 140, 100 locations
[2025-12-16T21:44:47.684+0000] {subprocess.py:93} INFO - Fetched page 141, 100 locations
[2025-12-16T21:44:47.685+0000] {subprocess.py:93} INFO - Fetched page 142, 100 locations
[2025-12-16T21:44:47.685+0000] {subprocess.py:93} INFO - Fetched page 143, 100 locations
[2025-12-16T21:44:47.685+0000] {subprocess.py:93} INFO - Error: 429 - {"detail":"Too many requests"}
[2025-12-16T21:44:47.685+0000] {subprocess.py:93} INFO - Loaded 14300 locations into openaq-elt-pipeline.openaq_raw.locations
[2025-12-16T21:44:47.786+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2025-12-16T21:44:47.787+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2025-12-16T21:44:47.811+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=openaq_elt_pipeline, task_id=ingest_locations, run_id=manual__2025-12-16T21:41:07.273805+00:00, execution_date=20251216T214107, start_date=20251216T214108, end_date=20251216T214447
[2025-12-16T21:44:47.858+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2025-12-16T21:44:47.877+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2025-12-16T21:44:47.877+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
