[2025-12-16T22:48:09.957+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-16T22:52:50.228+0000] {subprocess.py:93} INFO - Fetched page 50, 100 locations
[2025-12-16T22:52:50.228+0000] {subprocess.py:93} INFO - Fetched page 51, 100 locations
[2025-12-16T22:52:50.228+0000] {subprocess.py:93} INFO - Fetched page 52, 100 locations
[2025-12-16T22:52:50.228+0000] {subprocess.py:93} INFO - Fetched page 53, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 54, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 55, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 56, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 57, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 58, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 59, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 60, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 61, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 62, 100 locations
[2025-12-16T22:52:50.229+0000] {subprocess.py:93} INFO - Fetched page 63, 100 locations
[2025-12-16T22:52:50.230+0000] {subprocess.py:93} INFO - Fetched page 64, 100 locations
[2025-12-16T22:52:50.230+0000] {subprocess.py:93} INFO - Fetched page 65, 100 locations
[2025-12-16T22:52:50.230+0000] {subprocess.py:93} INFO - Fetched page 66, 100 locations
[2025-12-16T22:52:50.230+0000] {subprocess.py:93} INFO - Fetched page 67, 100 locations
[2025-12-16T22:52:50.230+0000] {subprocess.py:93} INFO - Fetched page 68, 100 locations
[2025-12-16T22:52:50.230+0000] {subprocess.py:93} INFO - Fetched page 69, 100 locations
[2025-12-16T22:52:50.230+0000] {subprocess.py:93} INFO - Fetched page 70, 100 locations
[2025-12-16T22:52:50.230+0000] {subprocess.py:93} INFO - Fetched page 71, 100 locations
[2025-12-16T22:52:50.231+0000] {subprocess.py:93} INFO - Fetched page 72, 100 locations
[2025-12-16T22:52:50.231+0000] {subprocess.py:93} INFO - Fetched page 73, 100 locations
[2025-12-16T22:52:50.231+0000] {subprocess.py:93} INFO - Fetched page 74, 100 locations
[2025-12-16T22:52:50.231+0000] {subprocess.py:93} INFO - Fetched page 75, 100 locations
[2025-12-16T22:52:50.234+0000] {subprocess.py:93} INFO - Fetched page 76, 100 locations
[2025-12-16T22:52:50.235+0000] {subprocess.py:93} INFO - Fetched page 77, 100 locations
[2025-12-16T22:52:50.235+0000] {subprocess.py:93} INFO - Fetched page 78, 100 locations
[2025-12-16T22:52:50.235+0000] {subprocess.py:93} INFO - Fetched page 79, 100 locations
[2025-12-16T22:52:50.235+0000] {subprocess.py:93} INFO - Fetched page 80, 100 locations
[2025-12-16T22:52:50.235+0000] {subprocess.py:93} INFO - Fetched page 81, 100 locations
[2025-12-16T22:52:50.235+0000] {subprocess.py:93} INFO - Fetched page 82, 100 locations
[2025-12-16T22:52:50.235+0000] {subprocess.py:93} INFO - Fetched page 83, 100 locations
[2025-12-16T22:52:50.236+0000] {subprocess.py:93} INFO - Fetched page 84, 100 locations
[2025-12-16T22:52:50.236+0000] {subprocess.py:93} INFO - Fetched page 85, 100 locations
[2025-12-16T22:52:50.236+0000] {subprocess.py:93} INFO - Fetched page 86, 100 locations
[2025-12-16T22:52:50.236+0000] {subprocess.py:93} INFO - Fetched page 87, 100 locations
[2025-12-16T22:52:50.236+0000] {subprocess.py:93} INFO - Fetched page 88, 100 locations
[2025-12-16T22:52:50.236+0000] {subprocess.py:93} INFO - Fetched page 89, 100 locations
[2025-12-16T22:52:50.236+0000] {subprocess.py:93} INFO - Fetched page 90, 100 locations
[2025-12-16T22:52:50.236+0000] {subprocess.py:93} INFO - Fetched page 91, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 92, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 93, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 94, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 95, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 96, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 97, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 98, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 99, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 100, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 101, 100 locations
[2025-12-16T22:52:50.237+0000] {subprocess.py:93} INFO - Fetched page 102, 100 locations
[2025-12-16T22:52:50.238+0000] {subprocess.py:93} INFO - Fetched page 103, 100 locations
[2025-12-16T22:52:50.238+0000] {subprocess.py:93} INFO - Fetched page 104, 100 locations
[2025-12-16T22:52:50.238+0000] {subprocess.py:93} INFO - Fetched page 105, 100 locations
[2025-12-16T22:52:50.238+0000] {subprocess.py:93} INFO - Fetched page 106, 100 locations
[2025-12-16T22:52:50.238+0000] {subprocess.py:93} INFO - Fetched page 107, 100 locations
[2025-12-16T22:52:50.238+0000] {subprocess.py:93} INFO - Fetched page 108, 100 locations
[2025-12-16T22:52:50.238+0000] {subprocess.py:93} INFO - Fetched page 109, 100 locations
[2025-12-16T22:52:50.239+0000] {subprocess.py:93} INFO - Fetched page 110, 100 locations
[2025-12-16T22:52:50.239+0000] {subprocess.py:93} INFO - Fetched page 111, 100 locations
[2025-12-16T22:52:50.239+0000] {subprocess.py:93} INFO - Fetched page 112, 100 locations
[2025-12-16T22:52:50.239+0000] {subprocess.py:93} INFO - Fetched page 113, 100 locations
[2025-12-16T22:52:50.239+0000] {subprocess.py:93} INFO - Fetched page 114, 100 locations
[2025-12-16T22:52:50.239+0000] {subprocess.py:93} INFO - Fetched page 115, 100 locations
[2025-12-16T22:52:50.239+0000] {subprocess.py:93} INFO - Fetched page 116, 100 locations
[2025-12-16T22:52:50.240+0000] {subprocess.py:93} INFO - Fetched page 117, 100 locations
[2025-12-16T22:52:50.240+0000] {subprocess.py:93} INFO - Fetched page 118, 100 locations
[2025-12-16T22:52:50.240+0000] {subprocess.py:93} INFO - Fetched page 119, 100 locations
[2025-12-16T22:52:50.240+0000] {subprocess.py:93} INFO - Fetched page 120, 100 locations
[2025-12-16T22:52:50.240+0000] {subprocess.py:93} INFO - Fetched page 121, 100 locations
[2025-12-16T22:52:50.240+0000] {subprocess.py:93} INFO - Fetched page 122, 100 locations
[2025-12-16T22:52:50.240+0000] {subprocess.py:93} INFO - Fetched page 123, 100 locations
[2025-12-16T22:52:50.240+0000] {subprocess.py:93} INFO - Fetched page 124, 100 locations
[2025-12-16T22:52:50.241+0000] {subprocess.py:93} INFO - Fetched page 125, 100 locations
[2025-12-16T22:52:50.241+0000] {subprocess.py:93} INFO - Fetched page 126, 100 locations
[2025-12-16T22:52:50.241+0000] {subprocess.py:93} INFO - Fetched page 127, 100 locations
[2025-12-16T22:52:50.241+0000] {subprocess.py:93} INFO - Fetched page 128, 100 locations
[2025-12-16T22:52:50.241+0000] {subprocess.py:93} INFO - Fetched page 129, 100 locations
[2025-12-16T22:52:50.241+0000] {subprocess.py:93} INFO - Fetched page 130, 100 locations
[2025-12-16T22:52:50.241+0000] {subprocess.py:93} INFO - Fetched page 131, 100 locations
[2025-12-16T22:52:50.241+0000] {subprocess.py:93} INFO - Fetched page 132, 100 locations
[2025-12-16T22:52:50.242+0000] {subprocess.py:93} INFO - Fetched page 133, 100 locations
[2025-12-16T22:52:50.242+0000] {subprocess.py:93} INFO - Fetched page 134, 100 locations
[2025-12-16T22:52:50.242+0000] {subprocess.py:93} INFO - Fetched page 135, 100 locations
[2025-12-16T22:52:50.242+0000] {subprocess.py:93} INFO - Fetched page 136, 100 locations
[2025-12-16T22:52:50.242+0000] {subprocess.py:93} INFO - Fetched page 137, 100 locations
[2025-12-16T22:52:50.242+0000] {subprocess.py:93} INFO - Fetched page 138, 100 locations
[2025-12-16T22:52:50.242+0000] {subprocess.py:93} INFO - Fetched page 139, 100 locations
[2025-12-16T22:52:50.242+0000] {subprocess.py:93} INFO - Fetched page 140, 100 locations
[2025-12-16T22:52:50.242+0000] {subprocess.py:93} INFO - Fetched page 141, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 142, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 143, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 144, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 145, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 146, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 147, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 148, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 149, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 150, 100 locations
[2025-12-16T22:52:50.243+0000] {subprocess.py:93} INFO - Fetched page 151, 100 locations
[2025-12-16T22:52:50.244+0000] {subprocess.py:93} INFO - Fetched page 152, 100 locations
[2025-12-16T22:52:50.244+0000] {subprocess.py:93} INFO - Fetched page 153, 100 locations
[2025-12-16T22:52:50.244+0000] {subprocess.py:93} INFO - Fetched page 154, 100 locations
[2025-12-16T22:52:50.244+0000] {subprocess.py:93} INFO - Fetched page 155, 100 locations
[2025-12-16T22:52:50.244+0000] {subprocess.py:93} INFO - Fetched page 156, 100 locations
[2025-12-16T22:52:50.244+0000] {subprocess.py:93} INFO - Fetched page 157, 100 locations
[2025-12-16T22:52:50.244+0000] {subprocess.py:93} INFO - Fetched page 158, 100 locations
[2025-12-16T22:52:50.244+0000] {subprocess.py:93} INFO - Fetched page 159, 100 locations
[2025-12-16T22:52:50.244+0000] {subprocess.py:93} INFO - Fetched page 160, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 161, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 162, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 163, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 164, 100 locations
