[2025-12-16T22:58:41.371+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-16T23:04:47.141+0000] {subprocess.py:93} INFO - Fetched page 2, 100 locations
[2025-12-16T23:04:47.142+0000] {subprocess.py:93} INFO - Fetched page 3, 100 locations
[2025-12-16T23:04:47.143+0000] {subprocess.py:93} INFO - Fetched page 4, 100 locations
[2025-12-16T23:04:47.143+0000] {subprocess.py:93} INFO - Fetched page 5, 100 locations
[2025-12-16T23:04:47.144+0000] {subprocess.py:93} INFO - Fetched page 6, 100 locations
[2025-12-16T23:04:47.145+0000] {subprocess.py:93} INFO - Fetched page 7, 100 locations
[2025-12-16T23:04:47.145+0000] {subprocess.py:93} INFO - Fetched page 8, 100 locations
[2025-12-16T23:04:47.145+0000] {subprocess.py:93} INFO - Fetched page 9, 100 locations
[2025-12-16T23:04:47.146+0000] {subprocess.py:93} INFO - Fetched page 10, 100 locations
[2025-12-16T23:04:47.146+0000] {subprocess.py:93} INFO - Fetched page 11, 100 locations
[2025-12-16T23:04:47.147+0000] {subprocess.py:93} INFO - Fetched page 12, 100 locations
[2025-12-16T23:04:47.147+0000] {subprocess.py:93} INFO - Fetched page 13, 100 locations
[2025-12-16T23:04:47.147+0000] {subprocess.py:93} INFO - Fetched page 14, 100 locations
[2025-12-16T23:04:47.148+0000] {subprocess.py:93} INFO - Fetched page 15, 100 locations
[2025-12-16T23:04:47.148+0000] {subprocess.py:93} INFO - Fetched page 16, 100 locations
[2025-12-16T23:04:47.148+0000] {subprocess.py:93} INFO - Fetched page 17, 100 locations
[2025-12-16T23:04:47.148+0000] {subprocess.py:93} INFO - Fetched page 18, 100 locations
[2025-12-16T23:04:47.148+0000] {subprocess.py:93} INFO - Fetched page 19, 100 locations
[2025-12-16T23:04:47.149+0000] {subprocess.py:93} INFO - Fetched page 20, 100 locations
[2025-12-16T23:04:47.149+0000] {subprocess.py:93} INFO - Fetched page 21, 100 locations
[2025-12-16T23:04:47.149+0000] {subprocess.py:93} INFO - Fetched page 22, 100 locations
[2025-12-16T23:04:47.149+0000] {subprocess.py:93} INFO - Fetched page 23, 100 locations
[2025-12-16T23:04:47.150+0000] {subprocess.py:93} INFO - Fetched page 24, 100 locations
[2025-12-16T23:04:47.150+0000] {subprocess.py:93} INFO - Fetched page 25, 100 locations
[2025-12-16T23:04:47.150+0000] {subprocess.py:93} INFO - Fetched page 26, 100 locations
[2025-12-16T23:04:47.150+0000] {subprocess.py:93} INFO - Fetched page 27, 100 locations
[2025-12-16T23:04:47.150+0000] {subprocess.py:93} INFO - Fetched page 28, 100 locations
[2025-12-16T23:04:47.150+0000] {subprocess.py:93} INFO - Fetched page 29, 100 locations
[2025-12-16T23:04:47.150+0000] {subprocess.py:93} INFO - Fetched page 30, 100 locations
[2025-12-16T23:04:47.150+0000] {subprocess.py:93} INFO - Fetched page 31, 100 locations
[2025-12-16T23:04:47.151+0000] {subprocess.py:93} INFO - Fetched page 32, 100 locations
[2025-12-16T23:04:47.151+0000] {subprocess.py:93} INFO - Fetched page 33, 100 locations
[2025-12-16T23:04:47.151+0000] {subprocess.py:93} INFO - Fetched page 34, 100 locations
[2025-12-16T23:04:47.151+0000] {subprocess.py:93} INFO - Fetched page 35, 100 locations
[2025-12-16T23:04:47.151+0000] {subprocess.py:93} INFO - Fetched page 36, 100 locations
[2025-12-16T23:04:47.151+0000] {subprocess.py:93} INFO - Fetched page 37, 100 locations
[2025-12-16T23:04:47.151+0000] {subprocess.py:93} INFO - Fetched page 38, 100 locations
[2025-12-16T23:04:47.151+0000] {subprocess.py:93} INFO - Fetched page 39, 100 locations
[2025-12-16T23:04:47.152+0000] {subprocess.py:93} INFO - Fetched page 40, 100 locations
[2025-12-16T23:04:47.152+0000] {subprocess.py:93} INFO - Fetched page 41, 100 locations
[2025-12-16T23:04:47.152+0000] {subprocess.py:93} INFO - Fetched page 42, 100 locations
[2025-12-16T23:04:47.152+0000] {subprocess.py:93} INFO - Fetched page 43, 100 locations
[2025-12-16T23:04:47.152+0000] {subprocess.py:93} INFO - Fetched page 44, 100 locations
