[2025-12-17T00:57:28.652+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-17T00:57:28.679+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: openaq_elt_pipeline.ingest_locations manual__2025-12-17T00:57:27.717309+00:00 [queued]>
[2025-12-17T00:57:28.683+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: openaq_elt_pipeline.ingest_locations manual__2025-12-17T00:57:27.717309+00:00 [queued]>
[2025-12-17T00:57:28.683+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-12-17T00:57:28.690+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): ingest_locations> on 2025-12-17 00:57:27.717309+00:00
[2025-12-17T00:57:28.695+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1424) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-17T00:57:28.694+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'openaq_elt_pipeline', 'ingest_locations', 'manual__2025-12-17T00:57:27.717309+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/openaq_elt_dag.py', '--cfg-path', '/tmp/tmprm77wnij']
[2025-12-17T00:57:28.695+0000] {standard_task_runner.py:91} INFO - Job 36: Subtask ingest_locations
[2025-12-17T00:57:28.695+0000] {standard_task_runner.py:64} INFO - Started process 1425 to run task
[2025-12-17T00:57:28.723+0000] {task_command.py:426} INFO - Running <TaskInstance: openaq_elt_pipeline.ingest_locations manual__2025-12-17T00:57:27.717309+00:00 [running]> on host de9a9770433a
[2025-12-17T00:57:28.769+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='openaq_elt_pipeline' AIRFLOW_CTX_TASK_ID='ingest_locations' AIRFLOW_CTX_EXECUTION_DATE='2025-12-17T00:57:27.717309+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-12-17T00:57:27.717309+00:00'
[2025-12-17T00:57:28.770+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-17T00:57:28.777+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-12-17T00:57:28.778+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', '\n        cd /opt/project/ingest &&\n        python ingest_locations.py\n        ']
[2025-12-17T00:57:28.783+0000] {subprocess.py:86} INFO - Output:
[2025-12-17T01:03:33.488+0000] {subprocess.py:93} INFO - Fetched page 1, 100 locations
[2025-12-17T01:03:33.499+0000] {subprocess.py:93} INFO - Fetched page 2, 100 locations
[2025-12-17T01:03:33.500+0000] {subprocess.py:93} INFO - Fetched page 3, 100 locations
[2025-12-17T01:03:33.500+0000] {subprocess.py:93} INFO - Fetched page 4, 100 locations
[2025-12-17T01:03:33.501+0000] {subprocess.py:93} INFO - Fetched page 5, 100 locations
[2025-12-17T01:03:33.501+0000] {subprocess.py:93} INFO - Fetched page 6, 100 locations
[2025-12-17T01:03:33.502+0000] {subprocess.py:93} INFO - Fetched page 7, 100 locations
[2025-12-17T01:03:33.502+0000] {subprocess.py:93} INFO - Fetched page 8, 100 locations
[2025-12-17T01:03:33.503+0000] {subprocess.py:93} INFO - Fetched page 9, 100 locations
[2025-12-17T01:03:33.503+0000] {subprocess.py:93} INFO - Fetched page 10, 100 locations
[2025-12-17T01:03:33.504+0000] {subprocess.py:93} INFO - Fetched page 11, 100 locations
[2025-12-17T01:03:33.504+0000] {subprocess.py:93} INFO - Fetched page 12, 100 locations
[2025-12-17T01:03:33.504+0000] {subprocess.py:93} INFO - Fetched page 13, 100 locations
[2025-12-17T01:03:33.505+0000] {subprocess.py:93} INFO - Fetched page 14, 100 locations
[2025-12-17T01:03:33.505+0000] {subprocess.py:93} INFO - Fetched page 15, 100 locations
[2025-12-17T01:03:33.505+0000] {subprocess.py:93} INFO - Fetched page 16, 100 locations
[2025-12-17T01:03:33.506+0000] {subprocess.py:93} INFO - Fetched page 17, 100 locations
[2025-12-17T01:03:33.506+0000] {subprocess.py:93} INFO - Fetched page 18, 100 locations
[2025-12-17T01:03:33.506+0000] {subprocess.py:93} INFO - Fetched page 19, 100 locations
[2025-12-17T01:03:33.507+0000] {subprocess.py:93} INFO - Fetched page 20, 100 locations
[2025-12-17T01:03:33.507+0000] {subprocess.py:93} INFO - Fetched page 21, 100 locations
[2025-12-17T01:03:33.507+0000] {subprocess.py:93} INFO - Fetched page 22, 100 locations
[2025-12-17T01:03:33.507+0000] {subprocess.py:93} INFO - Fetched page 23, 100 locations
[2025-12-17T01:03:33.508+0000] {subprocess.py:93} INFO - Fetched page 24, 100 locations
[2025-12-17T01:03:33.508+0000] {subprocess.py:93} INFO - Fetched page 25, 100 locations
[2025-12-17T01:03:33.508+0000] {subprocess.py:93} INFO - Fetched page 26, 100 locations
[2025-12-17T01:03:33.508+0000] {subprocess.py:93} INFO - Fetched page 27, 100 locations
[2025-12-17T01:03:33.509+0000] {subprocess.py:93} INFO - Fetched page 28, 100 locations
[2025-12-17T01:03:33.509+0000] {subprocess.py:93} INFO - Fetched page 29, 100 locations
[2025-12-17T01:03:33.509+0000] {subprocess.py:93} INFO - Fetched page 30, 100 locations
[2025-12-17T01:03:33.510+0000] {subprocess.py:93} INFO - Fetched page 31, 100 locations
[2025-12-17T01:03:33.510+0000] {subprocess.py:93} INFO - Fetched page 32, 100 locations
[2025-12-17T01:03:33.510+0000] {subprocess.py:93} INFO - Fetched page 33, 100 locations
[2025-12-17T01:03:33.511+0000] {subprocess.py:93} INFO - Fetched page 34, 100 locations
[2025-12-17T01:03:33.511+0000] {subprocess.py:93} INFO - Fetched page 35, 100 locations
[2025-12-17T01:03:33.511+0000] {subprocess.py:93} INFO - Fetched page 36, 100 locations
[2025-12-17T01:03:33.512+0000] {subprocess.py:93} INFO - Fetched page 37, 100 locations
[2025-12-17T01:03:33.512+0000] {subprocess.py:93} INFO - Fetched page 38, 100 locations
[2025-12-17T01:03:33.512+0000] {subprocess.py:93} INFO - Fetched page 39, 100 locations
[2025-12-17T01:03:33.513+0000] {subprocess.py:93} INFO - Fetched page 40, 100 locations
[2025-12-17T01:03:33.513+0000] {subprocess.py:93} INFO - Fetched page 41, 100 locations
[2025-12-17T01:03:33.513+0000] {subprocess.py:93} INFO - Fetched page 42, 100 locations
[2025-12-17T01:03:33.514+0000] {subprocess.py:93} INFO - Fetched page 43, 100 locations
[2025-12-17T01:03:33.514+0000] {subprocess.py:93} INFO - Fetched page 44, 100 locations
[2025-12-17T01:03:33.514+0000] {subprocess.py:93} INFO - Fetched page 45, 100 locations
[2025-12-17T01:03:33.514+0000] {subprocess.py:93} INFO - Fetched page 46, 100 locations
[2025-12-17T01:03:33.514+0000] {subprocess.py:93} INFO - Fetched page 47, 100 locations
[2025-12-17T01:03:33.515+0000] {subprocess.py:93} INFO - Fetched page 48, 100 locations
[2025-12-17T01:03:33.515+0000] {subprocess.py:93} INFO - Fetched page 49, 100 locations
[2025-12-17T01:03:33.515+0000] {subprocess.py:93} INFO - Fetched page 50, 100 locations
[2025-12-17T01:03:33.515+0000] {subprocess.py:93} INFO - Fetched page 51, 100 locations
[2025-12-17T01:03:33.515+0000] {subprocess.py:93} INFO - Fetched page 52, 100 locations
[2025-12-17T01:03:33.516+0000] {subprocess.py:93} INFO - Fetched page 53, 100 locations
[2025-12-17T01:03:33.516+0000] {subprocess.py:93} INFO - Fetched page 54, 100 locations
[2025-12-17T01:03:33.516+0000] {subprocess.py:93} INFO - Fetched page 55, 100 locations
[2025-12-17T01:03:33.516+0000] {subprocess.py:93} INFO - Fetched page 56, 100 locations
